gene	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
IFNL3	-0.086325018	-0.027204248	-0.152670393	-0.041703232	-0.041146118	-0.143314169	-0.128050923	-0.231932462	-0.154200746	-0.016741556	-0.03019252	-0.12756468	0.066371672	-0.056977532
IFNLR1	-0.04830953	-0.145793126	-0.103125131	-0.207011686	-0.15682084	-0.053767592	-0.134306792	-0.188206152	-0.237181848	0.0025813	-0.134183381	-0.189342423	-0.207789614	-0.151738433
IFNW1	-0.168811164	-0.207423111	-0.057835294	-0.009142764	-0.126955853	-0.109700364	-0.167262885	-0.123940721	-0.029957564	-0.199993433	-0.020059916	-0.127879115	-0.057881718	-0.017386839
IFRD1	0.137970274	-0.007316208	0.054704664	-0.006053749	-0.065446939	0.001686515	-0.054900722	0.092886239	0.071387105	-0.035832921	-0.003500408	0.032331266	0.034647239	0.060219026
IFRD2	-0.102415795	-0.220974907	-0.185441632	-0.136623516	-0.297247937	-0.194743307	-0.158952635	-0.252179474	-0.180114462	-0.042746806	-0.328668465	-0.312375677	-0.19869909	-0.165139517
IFT122	-0.00286964	-0.111091034	-0.043650395	-0.101661401	-0.067272409	-0.067643042	-0.141928297	-0.118358539	-0.030051815	-0.07810747	-0.12852375	-0.098541413	-0.009932701	-0.065636607
IFT140	-0.230012201	-0.17239799	-0.225697756	-0.144830511	-0.349524886	-0.227695221	-0.489637953	-0.355949518	-0.519246273	-0.254397602	-0.3177765	-0.317693644	-0.483854255	-0.320486847
IFT172	-0.047744983	0.075141058	-0.004742686	0.132923378	-0.010842777	-0.05781443	-0.038749327	0.055974361	0.026247957	-0.092735229	-0.02970419	-0.005183737	0.075870338	0.031828574
IFT20	-0.147364701	-0.134163959	-0.135528473	-0.216932108	-0.332246534	-0.131515265	-0.03419076	-0.256337297	-0.077343457	-0.147095002	-0.097361488	-0.058593353	-0.324293783	-0.268396047
IFT22	-0.050274122	0.010537849	0.074138705	-0.069831291	-0.10085132	-0.03133355	-0.006938938	0.007097424	-0.049571275	0.031440281	0.010168247	-0.04844699	-0.092587174	-0.051474714
IFT27	0.072002792	0.009178335	0.050675276	-0.042629711	-0.029159137	0.039457685	0.053304587	-0.094457775	-0.01801984	0.037832484	0.064410521	-0.008287713	-0.079871243	-0.05497427
IFT43	0.058281224	0.174968722	0.128135091	-0.01978494	0.150875634	0.060061812	-0.064257758	-0.088044807	0.046105195	0.142632206	0.03299865	0.194394075	0.043118006	0.123692445
IFT46	0.026050917	0.038514985	0.096302694	0.053295823	0.066342714	0.045120434	-0.008084325	0.036239616	0.114581306	0.034814347	0.009509213	0.060280255	-0.010384565	0.048334734
IFT52	0.047841554	0.072938626	0.164349431	-0.006046582	0.096370999	0.147680033	0.011020697	0.103886806	0.047324123	0.023308678	0.197066612	0.105177912	0.068387071	0.006899541
IFT57	0.031547836	0.071362434	-0.066688526	0.103840863	-0.164765285	-0.012921922	-0.069721699	-0.080722034	-0.110453147	-0.007644394	-0.12011484	-0.060684071	-0.097629152	-0.018657854
