Column	Class	Category
KNS42_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
KNS60_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
KNS62_LUNG	Gene knock-out studies	Gene-Based Metric
KNS81_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
KP2_PANCREAS	Gene knock-out studies	Gene-Based Metric
KP3_PANCREAS	Gene knock-out studies	Gene-Based Metric
KP4_PANCREAS	Gene knock-out studies	Gene-Based Metric
KPL1_BREAST	Gene knock-out studies	Gene-Based Metric
KPNYN_AUTONOMIC_GANGLIA	Gene knock-out studies	Gene-Based Metric
KS1_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
KU1919_URINARY_TRACT	Gene knock-out studies	Gene-Based Metric
KURAMOCHI_OVARY	Gene knock-out studies	Gene-Based Metric
KYSE180_OESOPHAGUS	Gene knock-out studies	Gene-Based Metric
KYSE270_OESOPHAGUS	Gene knock-out studies	Gene-Based Metric
KYSE30_OESOPHAGUS	Gene knock-out studies	Gene-Based Metric
KYSE410_OESOPHAGUS	Gene knock-out studies	Gene-Based Metric
KYSE450_OESOPHAGUS	Gene knock-out studies	Gene-Based Metric
KYSE70_OESOPHAGUS	Gene knock-out studies	Gene-Based Metric
LCLC103H_LUNG	Gene knock-out studies	Gene-Based Metric
LI7_LIVER	Gene knock-out studies	Gene-Based Metric
LK2_LUNG	Gene knock-out studies	Gene-Based Metric
LN18_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
LN235_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
LN382_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
LN443_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
LNZ308_CENTRAL_NERVOUS_SYSTEM	Gene knock-out studies	Gene-Based Metric
LOVO_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
LS1034_LARGE_INTESTINE	Gene knock-out studies	Gene-Based Metric
